,U1_GVposition,U1_ActivePower,Maris_level,Magat_level,Tailrace_level
46,100.069,86.8177,106.364,186.453,106.835
47,100.069,87.2729,106.364,186.453,106.835
48,100.183,87.2729,106.364,186.453,106.835
49,100.183,87.3634,106.364,186.453,106.835
50,100.069,87.5719,106.364,186.453,106.835
51,100.069,87.7866,106.364,186.453,106.835
52,100.069,87.527,106.364,186.453,106.835
53,100.069,87.567,106.364,186.453,106.835
54,100.069,87.623,106.364,186.453,106.835
55,100.069,87.518,106.364,186.453,106.835
56,100.069,87.7787,106.364,186.453,106.835
57,100.069,87.654,106.364,186.453,106.835
58,100.069,87.7333,106.364,186.453,106.835
59,100.069,87.6814,106.364,186.453,106.835
60,100.069,87.5614,106.364,186.453,106.835
61,100.069,87.5985,106.364,186.453,106.835
62,100.069,87.414,106.364,186.453,106.835
63,100.069,87.3852,106.364,186.453,106.835
64,100.069,87.4065,106.364,186.453,106.835
65,100.069,87.7107,106.364,186.453,106.835
66,100.069,87.5215,106.364,186.453,106.835
67,100.069,87.6063,106.364,186.453,106.835
68,100.069,87.5373,106.364,186.453,106.835
69,100.069,87.5147,106.364,186.453,106.835
70,100.069,87.6102,106.364,186.453,106.835
71,100.069,87.5135,106.364,186.453,106.835
72,100.069,87.4547,106.364,186.453,106.835
73,100.069,87.5178,106.364,186.453,106.835
74,100.069,87.5408,106.364,186.453,106.835
75,100.069,87.4741,106.364,186.453,106.835
76,100.069,87.4515,106.364,186.453,106.835
77,100.069,87.6539,106.364,186.453,106.835
78,100.069,87.4824,106.364,186.453,106.835
79,100.069,87.5282,106.364,186.453,106.835
80,100.069,87.6017,106.364,186.453,106.835
81,100.069,87.5541,106.364,186.453,106.835
82,100.069,87.6875,106.364,186.453,106.835
83,100.069,87.6519,106.364,186.453,106.835
84,100.069,87.9286,106.479,186.453,106.835
85,100.069,87.7908,106.479,186.453,106.835
86,100.069,87.6313,106.479,186.453,106.835
87,100.069,87.6104,106.479,186.453,106.835
88,100.069,87.5106,106.479,186.453,106.835
89,100.069,87.3399,106.479,186.453,106.835
90,100.069,87.455,106.479,186.453,106.835
91,100.069,87.4008,106.479,186.453,106.835
92,100.069,87.5089,106.479,186.453,106.835
93,100.069,87.6047,106.479,186.453,106.835
94,100.069,87.6352,106.479,186.453,106.835
95,100.069,87.5654,106.479,186.453,106.835
96,100.069,87.5476,106.479,186.453,106.835
97,100.069,87.2863,106.479,186.453,106.835
98,100.069,87.3935,106.479,186.453,106.835
99,100.069,87.5832,106.479,186.453,106.835
100,100.069,87.5703,106.479,186.453,106.835
101,100.069,87.6897,106.479,186.453,106.835
102,100.069,87.5604,106.479,186.453,106.835
103,100.069,87.5764,106.479,186.453,106.835
104,100.069,87.4906,106.479,186.453,106.835
105,100.069,87.6674,106.479,186.453,106.835
106,100.069,87.648,106.479,186.453,106.835
107,100.069,87.4456,106.479,186.453,106.835
108,100.069,87.8983,106.479,186.453,106.835
109,100.069,87.5948,106.479,186.453,106.835
110,100.069,87.4778,106.479,186.453,106.835
111,100.069,87.6046,106.479,186.453,106.835
112,100.069,87.4204,106.479,186.453,106.835
113,100.069,87.5779,106.479,186.453,106.835
114,100.069,87.6418,106.479,186.453,106.835
115,100.069,87.689,106.479,186.453,106.835
116,100.069,87.336,106.479,186.453,106.835
117,100.069,87.5187,106.479,186.453,106.835
118,100.183,87.718,106.479,186.453,106.835
119,100.183,87.7311,106.479,186.453,106.835
120,100.183,87.7971,106.479,186.453,106.835
121,100.183,87.7136,106.479,186.453,106.835
122,100.183,87.7675,106.479,186.453,106.835
123,100.183,87.7035,106.479,186.453,106.835
124,100.183,87.7547,106.479,186.453,106.835
125,100.183,87.7741,106.479,186.453,106.835
126,100.183,87.9021,106.479,186.453,106.835
127,100.183,87.6596,106.479,186.453,106.835
128,100.183,87.743,106.479,186.453,106.835
129,100.183,87.6608,106.479,186.453,106.835
130,100.183,87.6355,106.479,186.453,106.835
131,100.069,87.6355,106.479,186.453,106.835
132,100.069,87.5724,106.479,186.453,106.835
133,100.069,87.7233,106.479,186.453,106.835
134,100.069,87.82,106.479,186.453,106.669
135,100.069,87.845,106.479,186.453,106.669
136,100.069,87.6855,106.479,186.453,106.669
137,100.069,87.6641,106.479,186.453,106.669
138,100.069,87.62,106.479,186.453,106.669
